API,DeepREL,NablaFuzz,TitanFuzz,MirrorFuzz,ShapeTester
torch.nn.ConvTranspose2d,22,1,61,0,41
torch.as_strided,4,7,94,7,21
torch.clamp,,,,,10
torch.empty,,,,2,1
torch.gather,6,1,58,0,0
torch.matmul,,,98,,2
torch.sparse_coo_tensor,,,,,3
torch.nn.InstanceNorm1d,1,,26,,3
torch.nn.InstanceNorm3d,,,,,4
torch.nn.Softmin,,,98,1,0
torch.nn.MaxUnpool1d,3,0,,3,0
torch.nn.MaxUnpool2d,0,0,,1,0
torch.nn.Conv2d,9,,,2,
tf.keras.layers.Conv2D,82,23,,,60
tf.keras.layers.BatchNormalization,1,12,86,20,1
tf.keras.layers.LSTM,,,,,0
tf.keras.layers.AveragePooling2D,,,,16,
tf.keras.layers.Conv3D,,2,35,,
tf.keras.layers.DepthwiseConv2D,,15,18,,
tf.keras.layers.SeparableConv2D,,61,,,
