API,DeepREL,NablaFuzz,TitanFuzz,MirrorFuzz,ShapeTester
torch.nn.ConvTranspose2d,0.63,0.67,0.21,0.25,0.32
torch.as_strided,0.58,0.49,0.19,0.47,0.0
torch.clamp,0.04,0.1,0.64,0.58,0.36
torch.empty,0.36,0.3,0.04,0.77,0.2
torch.gather,0.91,0.43,0.22,0.35,0.0
torch.matmul,0.45,0.25,0.37,0.59,0.2
torch.sparse_coo_tensor,1.0,0.9393939393939394,0.3,0.82,0.18
torch.nn.InstanceNorm1d,0.73,0.68,0.31,0.25,0.09
torch.nn.InstanceNorm3d,0.67,0.73,0.29,0.37,0.29
torch.nn.Softmin,0.0,0.04,0.25,0.13,0.0
torch.nn.MaxUnpool1d,0.41,0.48,0.0,0.6,0.01
torch.nn.MaxUnpool2d,0.23,0.32,0.3333333333333333,0.78,0.0
torch.nn.Conv2d,0.58,0.9583333333333334,0.39,0.85,0.38
tf.keras.layers.Conv2D,0.74,0.73,0.29,0.96,0.69
tf.keras.layers.BatchNormalization,0.55,0.28,0.32,0.46,0.0
tf.keras.layers.LSTM,0.86,0.71,0.11,0.58,0.0
tf.keras.layers.AveragePooling2D,0.61,0.49,0.13,0.65,0.011904761904761904
tf.keras.layers.Conv3D,0.76,0.76,0.39,0.83,0.3
tf.keras.layers.DepthwiseConv2D,0.78,0.65,0.34,0.98,0.29
tf.keras.layers.SeparableConv2D,0.79,0.78,0.13,0.9,0.71
