API,Full,NoGA,NOComb,NOConstraint
torch.conv1d,0.41948042239953315,0.3426913183554268,0.33141139520696317,0.31992300101340415
torch.conv2d,0.5447255078871867,0.5367166854929089,0.2481571340357487,0.5447255078871867
torch.conv_transpose1d,0.5443392987941283,0.4544106649100881,0.4535111354085606,0.5383822866557476
torch.conv_transpose2d,0.3839166520109313,0.32062324342688897,0.3371768955560284,0.41767708560840083
torch.conv_transpose3d,0.611552801418139,0.651713937122711,0.5030560617108978,0.5056697189944233
torch.nn.ConvTranspose1d,0.23861643329125626,0.13594039663023819,0.0937376737401186,0.24530095996519458
torch.nn.ConvTranspose2d,0.7248375750913352,0.6023445629127298,0.3446162062421979,0.7559866922898262
torch.as_strided,0.20177393695334866,0.16526900139114092,0.20914982860643944,0.20177393695334866
torch.as_strided_scatter,4.680379670160896e-14,1.652768082717987e-15,5.337829551582321e-15,7.12760312171797e-15
torch.celu_,7.0636669746087286e-15,1.0755821321379994e-15,1.3581662860788987e-15,7.0636669746087286e-15
torch.clamp,0.43339887329081694,0.3950671208304849,5.845309175461509e-14,0.31893634697996887
torch.empty,1.0397207708399179,1.0397207708399179,1.183906566901418,1.1083261774112276
torch.gather,0.029751110763601832,0.02861392335454878,7.0636669746087286e-15,4.23203447584543e-15
torch.index_copy,3.628352704527652e-15,9.208960850487838e-15,7.0636669746087286e-15,3.628352704527652e-15
torch.matmul,1.3581662860788987e-15,1.3581662860788987e-15,1.3462316249018893e-15,1.3581662860788987e-15
torch.randint_like,9.351821607350722e-14,7.836804074764177e-14,9.5172121604292e-14,8.997267004618967e-14
torch.select_scatter,0.19632102590656933,0.2109234173630486,1.6769504973029805e-15,6.898834586888549e-15
torch.sparse_coo_tensor,2.175176427574505,0.9841275524693205,1.7743191693597276,1.9980540630082921
torch.sparse_csr_tensor,2.0107882946236817,1.5146466605108384,2.6309817807875078,1.5522550043559185
torch.fft.fft2,0.05828654432420771,0.05422661272169569,0.05615516086256056,0.05686528175752045
