API,Full,NoGA,NOComb,NOConstraint
torch.conv1d,2,0,4,10
torch.conv2d,3,1,0,3
torch.conv_transpose1d,32,4,33,28
torch.conv_transpose2d,43,6,43,40
torch.conv_transpose3d,61,12,86,100
torch.nn.ConvTranspose1d,22,3,26,15
torch.nn.ConvTranspose2d,37,5,39,16
torch.as_strided,6,2,4,6
torch.as_strided_scatter,4,4,1,1
torch.celu_,2,1,1,2
torch.clamp,8,2,8,15
torch.empty,3,3,4,4
torch.gather,6,2,4,10
torch.index_copy,6,2,4,14
torch.matmul,1,1,0,1
torch.randint_like,34,17,7,28
torch.select_scatter,11,3,9,18
torch.sparse_coo_tensor,38,11,18,38
torch.sparse_csr_tensor,34,10,27,27
torch.fft.fft2,2,2,3,3
torch.fft.fftn,10,8,3,10
torch.fft.ifft,2,2,2,2
torch.fft.ifft2,4,2,2,4
torch.fft.ifftn,5,3,3,5
torch.fft.ihfft2,5,3,6,5
torch.fft.irfft,1,1,1,2
torch.fft.ihfftn,5,3,0,5
torch.fft.rfft2,10,2,8,18
torch.fft.irfftn,17,9,10,16
torch.fft.irfft2,18,8,5,16
torch.fft.rfftn,3,3,1,5
torch.library.register_autograd,1,1,0,1
torch.linalg.cond,2,2,2,4
torch.library.register_vmap,7,2,9,0
torch.nn.InstanceNorm1d,27,2,32,26
torch.nn.InstanceNorm3d,20,6,27,23
torch.nn.Softmin,12,6,6,12
torch.nn.MaxUnpool1d,66,36,60,89
torch.nn.MaxUnpool2d,100,40,31,100
torch.special.softmax,12,2,9,22
torch.autograd.graph.saved_tensors_hooks,10,5,5,10
torch.conv3d,0,0,2,4
torch.nn.MaxUnpool3d,--,--,--,--
torch.nn.Softmax,--,--,--,--
torch.nn.Softmax2d,--,--,--,--
torch.nn.InstanceNorm2d,0,0,0,0
torch.nn.MaxPool1d,0,0,0,0
torch.nn.MaxPool2d,0,0,0,0
torch.nn.Conv2d,0,0,0,0
torch.nn.Conv1d,0,0,0,0
tf.keras.layers.Discretization,27,14,14,27
tf.keras.layers.Conv1D,2,2,9,4
tf.keras.layers.Conv1DTranspose,24,6,17,22
tf.keras.layers.Conv2D,6,2,4,7
tf.keras.layers.Conv2DTranspose,21,8,30,21
tf.keras.layers.Conv3DTranspose,34,12,10,38
tf.keras.layers.ConvLSTM1D,66,11,20,59
tf.keras.layers.ConvLSTM2D,57,5,14,54
tf.keras.layers.ConvLSTM3D,78,15,27,68
tf.keras.layers.DepthwiseConv1D,2,0,0,0
tf.nn.convolution,2,0,1,3
tf.nn.depthwise_conv2d,5,5,11,13
tf.keras.layers.SeparableConv1D,17,4,1,9
tf.linalg.LinearOperatorDiag,16,2,9,16
tf.keras.layers.AugMix,2,1,1,2
tf.keras.layers.AveragePooling1D,1,0,0,1
tf.keras.layers.BatchNormalization,5,1,4,6
tf.linalg.LinearOperatorToeplitz,16,1,11,19
tf.linalg.eigh_tridiagonal,3,1,1,3
tf.keras.layers.EinsumDense,1,0,0,0
tf.keras.layers.GroupQueryAttention,23,4,4,8
tf.keras.layers.Identity,12,6,5,12
tf.keras.layers.IntegerLookup,9,0,13,1
tf.keras.layers.LSTM,31,1,29,39
tf.keras.layers.Lambda,77,44,39,77
tf.linalg.tridiagonal_matmul,2,0,0,0
tf.keras.layers.MelSpectrogram,30,6,9,29
tf.keras.layers.Normalization,24,6,9,34
tf.keras.layers.RMSNormalization,2,1,1,2
tf.keras.layers.RandomColorDegeneration,2,1,1,2
tf.keras.layers.RandomGrayscale,1,1,1,1
tf.keras.layers.RandomHue,2,1,1,2
tf.keras.layers.RandomSaturation,2,1,1,2
tf.keras.layers.StringLookup,50,11,21,34
tf.keras.layers.TextVectorization,12,2,4,14
tf.nn.avg_pool1d,3,0,1,3
tf.nn.max_pool,1,0,0,6
tf.nn.max_pool1d,1,0,1,1
tf.nn.pool,5,0,3,8
tf.nn.sampled_softmax_loss,1,1,2,0
tf.keras.layers.AveragePooling2D,0,0,0,0
tf.keras.layers.Conv3D,0,0,0,0
tf.keras.layers.AveragePooling3D,0,0,0,0
tf.keras.layers.DepthwiseConv2D,0,0,0,0
tf.keras.layers.SeparableConv2D,0,0,0,0
tf.nn.conv1d,1,1,0,0
tf.nn.max_pool2d,0,0,0,0
tf.nn.avg_pool3d,0,0,0,0
tf.nn.avg_pool2d,0,0,0,0
tf.nn.conv2d,0,0,0,0
