API,Full,NoGA,NOComb,NOConstraint
torch.conv1d,0.5,0.3142857142857143,0.56,0.54
torch.conv2d,0.32,0.25,0.379746835443038,0.32
torch.conv_transpose1d,0.0,0.0,0.0,0.0
torch.conv_transpose2d,0.0,0.0,0.0,0.0
torch.conv_transpose3d,0.0,0.0,0.0,0.0
torch.nn.ConvTranspose1d,0.27,0.28125,0.29,0.37
torch.nn.ConvTranspose2d,0.32,0.4050632911392405,0.15,0.59
torch.as_strided,0.0,0.0,0.0,0.0
torch.as_strided_scatter,0.5494505494505495,0.32142857142857145,0.6785714285714286,0.7446808510638298
torch.celu_,0.0,0.0,0.0,0.0
torch.clamp,0.36,0.37349397590361444,0.3380281690140845,0.28
torch.empty,0.2,0.2,0.0,0.0
torch.gather,0.0,0.0,0.0,0.0
torch.index_copy,0.1111111111111111,0.047619047619047616,0.2222222222222222,0.22580645161290322
torch.matmul,0.0,0.0,0.0,0.0
torch.randint_like,0.11,0.08064516129032258,0.31,0.27
torch.select_scatter,0.0,0.0,0.0,0.0
torch.sparse_coo_tensor,0.18,0.1956521739130435,0.35,0.28
torch.sparse_csr_tensor,0.2,0.2,0.29,0.32
torch.fft.fft2,0.1206896551724138,0.02040816326530612,0.08,0.18333333333333332
torch.fft.fftn,0.38,0.39,0.3068181818181818,0.38
torch.fft.ifft,0.1702127659574468,0.12,0.6176470588235294,0.7049180327868853
torch.fft.ifft2,0.22916666666666666,0.05405405405405406,0.2682926829268293,0.38333333333333336
torch.fft.ifftn,0.53,0.54,0.5492957746478874,0.59
torch.fft.ihfft2,0.36,0.35294117647058826,0.24242424242424243,0.33
torch.fft.irfft,0.10416666666666667,0.1111111111111111,0.5,0.6326530612244898
torch.fft.ihfftn,0.51,0.4647887323943662,0.5882352941176471,0.49
torch.fft.rfft2,0.25,0.07894736842105263,0.27419354838709675,0.36
torch.fft.irfftn,0.2,0.22727272727272727,0.20634920634920634,0.26
torch.fft.irfft2,0.05,0.05434782608695652,0.2647058823529412,0.34
torch.fft.rfftn,0.49,0.49,0.6119402985074627,0.41
torch.library.register_autograd,0.71875,0.7272727272727273,0.8913043478260869,0.7763157894736842
torch.linalg.cond,0.0,0.0,0.0,0.0
torch.library.register_vmap,0.2413793103448276,0.10526315789473684,0.22727272727272727,0.3333333333333333
torch.nn.InstanceNorm1d,0.09,0.05555555555555555,0.21,0.5
torch.nn.InstanceNorm3d,0.29,0.3958333333333333,0.21,0.51
torch.nn.Softmin,0.0,0.0,0.0,0.0
torch.nn.MaxUnpool1d,0.01,0.01,0.01,0.0
